车牌号,部门,绿色出行天数,行驶天数,油耗,碳排放.kg.,绿色出行减排.kg.
粤BT2220,01有排行有提醒,1,13,198.27,446.9,34.38
粤BT2220,01有排行有提醒,2,29,418.95,944.31,65.13
粤BT2220,01有排行有提醒,0,31,396.77,894.32,0
粤S45B27,01有排行有提醒,16,8,127.25,286.82,573.64
粤LBY602,01有排行有提醒,10,12,88.66,199.84,166.53
粤B2K335,01有排行有提醒,0,16,96.54,217.6,0
粤L39ES3,01有排行有提醒,0,9,42.74,96.34,0
粤B048RX,01有排行有提醒,0,12,41.99,94.65,0
粤B3R80W,01有排行有提醒,0,9,51.04,115.04,0
粤B2K335,01有排行有提醒,0,31,78.82,177.66,0
粤BH218W,01有排行有提醒,28,3,0,0,0
粤B3R80W,01有排行有提醒,2,29,72.59,163.62,11.28
粤L39ES3,01有排行有提醒,0,12,81.42,183.52,0
粤B048RX,01有排行有提醒,0,0,0,0,0
粤LBY602,01有排行有提醒,31,0,0,0,372.31
粤S45B27,01有排行有提醒,31,0,0,0,1146.38
粤BT2220,01有排行有提醒,5,26,366.08,825.14,158.68
皖AT0626,01有排行有提醒,0,8,224.94,507.01,0
皖AT0626,01有排行有提醒,5,25,491.69,1108.27,221.65
粤L39ES3,01有排行有提醒,0,26,224.94,507.01,0
粤BT2220,01有排行有提醒,0,30,413,930.9,0
粤B3R80W,01有排行有提醒,2,28,94.71,213.48,15.25
粤B2K335,01有排行有提醒,0,30,94.27,212.48,0
粤LBY602,01有排行有提醒,30,0,0,0,360.3
粤S45B27,01有排行有提醒,30,0,0,0,1109.4
粤BH218W,01有排行有提醒,30,0,0,0,0
粤B048RX,01有排行有提醒,0,0,0,0,0
皖AT0553,01有排行有提醒,0,24,841.25,1896.18,0
皖AT0547,01有排行有提醒,0,3,154.43,348.09,0
皖AT0650,01有排行有提醒,0,3,142.51,321.22,0
皖AT0642,01有排行有提醒,0,2,67.03,151.09,0
皖AT0665,01有排行有提醒,0,3,102.68,231.44,0
皖AT0599,01有排行有提醒,0,3,92.58,208.68,0
皖AT0568,01有排行有提醒,0,3,55.33,124.71,0
皖AT0600,01有排行有提醒,0,3,126.23,284.52,0
皖AT0628,01有排行有提醒,0,3,98.52,222.06,0
皖AT0609,01有排行有提醒,0,1,0.94,2.12,0
皖AT0619,01有排行有提醒,0,2,22.39,50.47,0
皖AT0547,01有排行有提醒,0,31,1808.74,4076.9,0
皖AT0650,01有排行有提醒,0,31,1791.87,4038.87,0
皖AT0568,01有排行有提醒,0,31,1729.02,3897.21,0
皖AT0600,01有排行有提醒,0,31,1926.01,4341.23,0
皖AT0665,01有排行有提醒,0,31,1217.3,2743.79,0
