车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放,绿色出行减排
皖AT0568,01有排行有提醒,0,31,1863.1,4199.43,0
皖AT0650,01有排行有提醒,0,31,1130.48,2548.1,0
皖AT0665,01有排行有提醒,0,31,1482.49,3341.53,0
皖AT0553,01有排行有提醒,0,31,1320.11,2975.53,0
皖AT0599,01有排行有提醒,0,31,898.24,2024.63,0
皖AT0628,01有排行有提醒,1,30,1506.54,3395.74,113.19
皖AT0642,01有排行有提醒,3,28,236.32,532.67,57.07
粤BT2220,01有排行有提醒,3,28,495.81,1117.56,119.74
粤B3R80W,01有排行有提醒,30,1,1,2.25,67.62
皖AT0619,01有排行有提醒,31,0,0,0,1129.95
皖AT0609,01有排行有提醒,0,0,0,0,0
皖AT0600,01有排行有提醒,31,0,0,0,4101.92
皖AT0547,01有排行有提醒,31,0,0,0,3605.61
粤BH218W,01有排行有提醒,31,0,0,0,0
粤S45B27,01有排行有提醒,31,0,0,0,1146.38
粤LBY602,01有排行有提醒,31,0,0,0,372.31
皖AT0626,01有排行有提醒,31,0,0,0,1541.63
粤B048RX,01有排行有提醒,0,0,0,0,0
粤L39ES3,01有排行有提醒,31,0,0,0,388.43
粤B2K335,01有排行有提醒,31,0,0,0,253.89
